time,position
1969—1977,黑龙江生产建设兵团一师三团三十一连机务排长
1977—1979,七机部二三0厂总装车间调试员
1979—1982,北京广播电视大学电子专业学习
1982—1983,航天部二三0厂技术科主管技术员
1983—1984,航天部二三0厂总装车间副指导员兼党支部书记
1984—1989,航天部二三0厂政治部副主任、厂长助理兼副总经济师
1989—1992,哈尔滨工业大学技术经济工程专业硕士研究生
1992—1993,借调航空航天部体改司工作
1993—1994,航天总公司二三0厂副厂长
1994—1995,航天总公司二三0厂常务副厂长
1995—1997,航天总公司二三0厂厂长、党委副书记（正局级）
1997—1997,航天总公司政治部副主任
1997—1998,航天总公司政治部副主任兼京区党委副书记
1998—1999,航天总公司人事劳动教育局负责人（主持工作）
1999—2000,中国航天机电（科工）集团公司副总经理、党组成员
2000—2001,中央组织部企业干部办公室主任
2001—2003,中央组织部干部五局局长
2003—2005,国务院国有资产监督管理委员会副主任、党委委员
2005—2008,国务院国有资产监督管理委员会副主任、党委副书记
2008—2008,国务院副秘书长、机关党组成员
2008—2010,国家质量监督检验检疫总局局长、党组书记
2010—2013,国务院国有资产监督管理委员会主任、党委书记[1] 
2013—,国务委员、国务院党组成员
