time,position
1974.03—1976.11,山东省东阿县大桥公社知青、代理团委书记；
1976.11—1981.09,山东省东阿县文教局、聊城地委宣传部、办公室、研究室办事员；
1981.09—1983.07,山东大学科社系政治学专业学习；
1983.07—1985.05,山东省冠县机构改革工作队员、聊城地委办公室正科级秘书；
1985.05—1991.10,山东省聊城地委组织部副部长兼干部科科长；
1991.10—1994.06,山东省聊城地委委员、组织部部长、高唐县委书记；
1994.06—1995.01,山东省聊城地委副书记、高唐县委书记；
1995.01—1997.12,山东省聊城地委副书记；
1997.12—1998.06,山东省劳动厅副厅长、党组副书记；
1998.06—2000.01,山东省贸易厅厅长、省政府财贸办公室主任；
2000.01—2000.08,江苏省委省级机关工委书记；
2000.08—2001.11,江苏省连云港市委书记；
2001.11—2001.12,江苏省委常委、连云港市委书记；
2001.12—2004.06,江苏省委常委、宣传部部长；
2004.06—2008.04,江苏省委常委、组织部部长；
2008.04—2008.08,江苏省委副书记、组织部部长；
2008.08—2010.09,江苏省委副书记、组织部部长兼省委党校校长；
2010.09—2010.12,江苏省委副书记；
2010.12—2011.02,湖北省委副书记、代省长、省政府党组书记；
2011.02—2011.05,湖北省委副书记、省长、省政府党组书记；
2011.05—2016.06,湖北省委副书记、省长、省政府党组书记、长江流域防汛抗旱指挥部总指挥；
2016.06—2017.01,青海省委书记、省人大常委会主任候选人；
2017.01—,青海省委书记、省人大常委会主任。
