time,position
1974.07—1979.12,福建省闽侯县知青、风机厂工人
1979.12—1984.05,福建省闽侯县公安局干部、团支部书记
1984.05—1989.01,福建省闽侯县公安局副局长
1989.01—1993.08,福建省闽侯县公安局局长、福建省福州市公安局郊区分局局长、党委书记
1993.08—1995.11,福建省福州市公安局副局长、党委委员
1995.11—1998.02,福建省福州市公安局副局长、党委副书记
1998.02—2002.05,福建省福州市公安局局长、党委书记、市委政法委副书记、福建省漳州市公安局局长、党委书记、市委政法委副书记、市委委员(副厅级)
2002.05—2011.09,福建省公安厅副厅长、党委委员、福建省公安边防总队第一政委、党委第一书记
2011.09—2013.08,福建省厦门市人民政府副市长、党组成员、厦门市公安局局长、党委书记、市委政法委副书记、市委委员
2013.08—2013.12,河南省人民政府省长助理、党组成员、省公安厅厅长、党委书记
2013.12—2014.12,河南省人民政府省长助理、党组成员、省公安厅厅长、党委书记、督察长、武警河南总队第一政委、党委第一书记
2014.12—2015.03,河南省人民政府副省长、党组成员  省公安厅厅长、党委书记、督察长、省委政法委副书记、武警河南总队第一政委、党委第一书记（2014.12.04国务院授予副总警监警衔）
2015.03—2016.05,北京市人民政府副市长、党组成员、市公安局局长、党委书记、督察长、市委政法委副书记 
2016.05—,公安部副部长、党委委员、北京市副市长、党组成员、北京市公安局局长、党委书记、督察长兼市委政法委副书记
