time,position
1978.01—1979.07,青海省湟中县汉东公社知青
1979.07—1981.09,青海师范专科学校中文系中文专业学习
1981.09—1982.10,青海省西宁市第十中学教师
1982.10—1985.03,青海省西宁市委办公室、政策研究室秘书
1985.03—1990.05,青海省委组织部办公室秘书
1990.05—1992.07,青海省委组织部办公室副主任、干部二处副处长
1992.07—1995.03,青海省委组织部干部二处处长
1995.03—1995.05,青海省委组织部办公室主任
1995.05—2000.04,青海省委组织部副部长
2000.04—2004.03,青海省委组织部副部长、省人事厅厅长、党组书记、任省机构编制委员会办公室主任、中国社会科学院研究生院政治经济学专业研究生课程班学习
2004.03—2004.12,青海省委副秘书长、办公厅主任
2004.12—2005.08,青海省委秘书长、办公厅主任
2005.08—2007.01,青海省委常委、秘书长、办公厅主任
2007.01—2010.09,青海省委常委、西宁市委书记
2010.09—2010.11,青海省委副书记兼省委党校校长、西宁市委书记
2010.11—2011.12,青海省委副书记兼省委党校校长、西宁市委书记、西宁（国家级）经济技术开发区党工委书记
2011.12—2013.02,青海省委副书记兼政法委书记、省委党校校长 
2013.02—2014.05,青海省委副书记兼省委党校校长
2014.05—2015.05,青海省委副书记兼省委党校校长、西宁市委书记、西宁（国家级）经济技术开发区党工委书记
2015.05—2016.12,青海省委副书记兼省委党校校长
2016.12—2017.01,青海省委副书记、副省长、代省长、省政府党组书记、兼省委党校校长
2017.01—2017.05,青海省委副书记、省长、省政府党组书记、兼省委党校校长
2017.05—,青海省委副书记、省长、省政府党组书记
