time,position
1976.01—1978.10,安徽省滁州市常山公社插队知青
1978.10—1982.07,西北电讯工程学院一系信息论专业学习
1982.07—1988.03,电子工业部第二十八研究所助理工程师、工程师
1988.03—1995.07,电子工业部第二十八研究所三部副主任
1995.07—1995.10,电子工业部第二十八研究所副总工程师
1995.10—1996.10,电子工业部第二十八研究所副所长
1996.10—1999.02,中国计算机软件与技术服务总公司总经理
1999.02—2001.08,信息产业工业部电子科学研究院副院长、党组成员
2001.08—2002.01,信息产业工业部电子科学研究院副院长、党组成员、中国电子科技集团公司筹备组成员
2002.01—2003.09,中国电子科技集团公司副总经理、党组成员
2003.09—2008.10,中国电子科技集团公司总经理、党组书记
2008.10—2011.04,中国电子科技集团公司总经理、党组副书记
2011.04—2012.07,科学技术部党组副书记、副部长
2012.07—,科学技术部党组书记、副部长
