time,position
1979.09—1983.08,江西大学哲学系马列主义基础理论专业学习
1983.08—1989.04,江西省委农村政策研究室综合处办事员、副主任科员、主任科员、副处长
1989.04—1992.03,江西省委办公厅副处级秘书
1992.03—1993.10,江西省委社教办副主任（正处级）、省委政策研究室党建政法处处长
1993.10—1994.10,贵州省委办公厅正处级秘书
1994.10—1998.02,贵州省委副秘书长
1998.02—1998.10,贵州省委副秘书长、办公厅主任
1998.10—2000.01,贵州省委秘书长、办公厅主任
2000.01—2000.12,贵州省贵阳市委书记
2000.12—2007.05,贵州省委常委、贵阳市委书记、贵阳军分区（警备区）党委第一书记
2007.05—2007.06,贵州省委常委、省政府副省长、党组副书记、贵阳市委书记、贵阳军分区党委第一书记
2007.06—2011.12,贵州省委常委、省政府副省长、党组副书记
2011.12—2012.01,湖北省委常委、省政府党组副书记
2012.01—2012.02,湖北省委常委、省政府副省长、党组副书记
2012.02—2012.07,湖北省委常委、省政府副省长、党组副书记、省行政学院院长
2012.07—2016.04,湖北省委常委、省政府副省长、党组副书记、省行政学院院长、湖北陆军预备役高射炮兵师第一政委
2016.04—2016.09,湖北省委副书记、省委政法委书记、省政府副省长、党组副书记、省行政学院院长、湖北陆军预备役高射炮兵师第一政委
2016.09—2017.01,湖北省委副书记、省委政法委书记、省政府副省长、代理省长、党组书记、湖北陆军预备役高射炮兵师第一政委
2017.01—2017.07,湖北省委副书记、省政府省长、党组书记、省委政法委书记、湖北陆军预备役高射炮兵师第一政委
2017.07—,湖北省委副书记、省政府省长、党组书记
