time,position
1969—1970,　陕西省延安地区宜君县下乡知青
1970—1973,　陕西省延安地区宜君县委宣传部、县委办公室干部
1973—1974,　陕西省延安地委办公室干部
1974—1979,　光明日报社国内部记者
1979—1982,　中国社会科学院研究生院新闻系新闻业务专业硕士研究生
1982—1984,　光明日报社政治经济部记者、群工部副主任
1984—1984,　光明日报社群工部主任
1984—1986,　光明日报社总编室主任
1986—1995,　光明日报社副总编辑
1995—2000,　光明日报社总编辑
2000—2001,　中央宣传部副部长
2001—2001,　人民日报社总编辑
2001—2002,　人民日报社总编辑、中华全国新闻工作者协会副主席
2002—2003,　人民日报社社长、总编辑、中华全国新闻工作者协会副主席
2003—2006,　人民日报社社长、中华全国新闻工作者协会副主席
2006—2008,　人民日报社社长
2008—2013,　中央宣传部副部长、中央对外宣传办公室主任、国务院新闻办公室主任、国家互联网信息办公室主任
2013—2017,　十二届全国人大常委会副委员长兼秘书长、党组成员、机关党组书记
2017—,　中央政治局委员、十二届全国人大常委会副委员长兼秘书长、党组成员、机关党组书记
