time,position
1976—1978,宁夏回族自治区同心县王团乡干事；
1978—1982,宁夏大学中文系中文专业学习；
1982—1983,宁夏回族自治区同心县委宣传部秘书；
1983—1986,宁夏回族自治区党委办公厅秘书；
1986—1989,宁夏回族自治区党委办公厅副处级秘书；
1989—1993,宁夏回族自治区党委政策研究室办公室副主任（正处级）；
1993—1997,宁夏回族自治区党委政策研究室副主任；
1997—1998,宁夏回族自治区党委宣传部常务副部长；
1998—1998,宁夏回族自治区党委宣传部部长；
1998—2001,宁夏回族自治区党委常委、宣传部部长；
2001—2003,宁夏回族自治区党委常委、银川市委书记；
2003—2004,宁夏回族自治区党委常委；
2004—2007,宁夏回族自治区党委常委、区政府副主席；
2007—2007,宁夏回族自治区党委副书记、区政府副主席；
2007—2008,宁夏回族自治区党委副书记、区政府代主席；
2008—2013,宁夏回族自治区党委副书记、区政府主席；
2013—2015,十二届全国政协副主席、国家民族事务委员会主任、党组书记；
2015—2016,十二届全国政协副主席、中央统战部副部长、国家民族事务委员会主任、党组书记；
2016—,十二届全国政协副主席。
