time,position
1978.03—1982.01,在大庆石油学院矿机专业学习；
1982.01—1994.05,大庆石油管理局采油七厂工程大队技术员、副大队长、大队长；
1994.05—1997.01,大庆石油管理局采油七厂副厂长、四厂副厂长
1997.01—1997.11,大庆石油管理局第一油气开发事业部副主任兼总工程师；
1997.11—1998.11,大庆石油管理局油田开发处处长；
1998.11—1999.09,大庆石油管理局副总工程师；
1999.09—2000.10,大庆油田有限责任公司董事、副总工程师；
2000.10—2003.12,大庆油田有限责任公司董事、常务副总经理、党委委员
2003.12—2008.03,大庆油田有限责任公司董事长、总经理、党委副书记
2008.03—2009.08,大庆油田有限责任公司（大庆石油管理局）董事长兼总经理（局长）、党委副书记；
2009.08—2010.07,黑龙江省副省长；
2010.07—2013.02,全国总工会党组书记、副主席、书记处第一书记、中央精神文明建设指导委员会委员（2010.12）、中央社会管理综合治理委员会委员（2011.03）、国务院振兴东北地区等老工业基地领导小组成员（2011.07）；
2013.02—2014.06,中国工程院副院长候选人、党组副书记（正部长级）、中央精神文明建设指导委员会委员（2013.10免）、中央社会管理综合治理委员会委员、国务院振兴东北地区等老工业基地领导小组成员（2013.06免）；
2010.06—2015.04,中国工程院副院长、党组副书记（正部长级）；
2015.04—2017.09,中国石油化工集团公司董事长、党组书记兼中国石油化工股份有限公司董事长（2015.05）；
2017.09—,国家安全生产监督管理总局党组书记、局长。
