time,position
1978.03—1983.07,清华大学建筑系建筑学专业学习；
1983.07—1989.03,清华大学建筑系学生工作组副组长、辅导员、系党委委员、学生工作组组长；
1989.03—1993.03,清华大学建筑学院院长助理、党委副书记、讲师、副教授
1993.03—1995.08,挂职广东省广州市番禺市人民政府副市长；
1995.08—1998.02,广东省广州市增城市人民政府副市长
1998.02—1998.09,广东省广州市建设委员会村镇建设处处长
1998.09—2000.11,广东省广州市城市规划局副局长；
2000.11—2001.06,广东省广州市城市规划局副局长兼市城市规划编制研究中心主任；
2001.06—2002.07,广东省广州市城市规划局局长兼市城市规划编制研究中心主任；
2002.07—2003.01,广东省广州市城市规划局局长；
2003.01—2004.05,广东省广州市番禺区委副书记、代区长、区长
2004.05—2008.08,广东省汕尾市委副书记、代市长、市长； 
2008.08—2011.11,广东省云浮市委书记、市人大常委会主任
2011.11—2013.05,福建省人民政府副省长、党组成员 
2013.05—2016.08,福建省委常委、厦门市委书记
2016.08—2016.12,辽宁省委常委、沈阳市委书记 
2016.12—2017.05,辽宁省委副书记、沈阳市委书记、辽宁省委党校校长（兼） 
2017.05—2017.06,住房和城乡建设部党组书记；
2017.06—,住房和城乡建设部党组书记、部长。
