time,position
1970.09—1974.09,内蒙古生产建设兵团二师十八团机运连司机、文书；
1974.09—1978.01,北京大学化学系催化专业学习；
1978.01—1978.10,中国科学院长春应用化学研究所研究实习员；
1978.10—1981.12,中国科学院化学研究所结构化学专业硕士研究生、研究实习员；
1981.12—1985.09,中国科学院化学研究所结构化学专业博士研究生、助理研究员；
1985.09—1987.11,美国加州理工学院博士后和访问学者、在喷气推进实验室从事真空扫描隧道显微境（STM）研究；
1987.11—1992.07,中国科学院化学研究所助理研究员、副研究员、研究员、STM实验室主任；
1992.07—1996.03,中国科学院化学研究所副所长、党委委员；
1996.03—2004.12,中国科学院副院长、党组成员、第三、四届欧美同学会副会长、全国青联副主席、中国青年科技工作者协会会长、第25、26届中国化学会理事长、中国科学院院士、第三世界科学院院士、1999国务院学位委员会委员、2001.01兼中国科学院研究生院院长、第六届、第七届中国科学技术协会副主席
2004.12—2011.02,中国科学院常务副院长、党组副书记（正部长级）、第五届化学学部主任
2011.02—2013.01,中国科学院院长、党组书记、部主席团执行主席
2013.01—,中国科学院院长、党组书记、学部主席团执行主席、发展中国家科学院院长
