time,position
1974.05—1975.09,山西省榆社县大寨公社知青
1975.09—1977.07,山西机床厂技工学校学习
1977.07—1978.09,山西机床厂第五车间工人
1978.09—1982.09,北京大学法律系法律学专业学习
1982.09—1985.07,北京大学法律系法学基础理论专业硕士研究生
1985.07—1990.06,中央党校法学教研室教师
1990.06—1992.09,中央党校科学社会主义教研部法学室副主任
1992.09—1996.03,中央党校科学社会主义教研部法学室主任
1996.03—1999.01,中央党校政法教研部副主任
1999.01—1999.10,中央党校政法教研部主任
1999.10—2000.12,中央党校校务委员会委员兼政法教研部主任
2000.12—2001.07,中央党校校务委员会委员兼组织部部长、政法教研部主任
2001.07—2002.02,中央党校副校长兼组织部部长、政法教研部主任
2002.02—2002.04,中央党校副校长兼政法教研部主任
2002.04—2010.09,中央党校副校长
2010.09—2011.08,江苏省委常委、组织部部长
2011.08—2011.09,江苏省委副书记、组织部部长
2011.09—2011.12,江苏省委副书记、组织部部长、省委党校校长
2011.12—2014.06,江苏省委副书记、省委党校校长
2014.06—2015.11,江苏省委副书记、苏州市委书记、省委党校校长
2015.11—2015.12,江苏省委副书记、省政府党组书记兼省委党校校长
2015.12—2016.01,江苏省委副书记、代省长、省政府党组书记兼省委党校校长
2016.01—2016.11,江苏省委副书记、省长、省政府党组书记兼省委党校校长 
2016.11—2017.04,江苏省委副书记、省长、省政府党组书记
2017.04—2017.06,宁夏回族自治区党委书记、区人大常委会党组书记、主任候选人 
2017.06—,宁夏回族自治区党委书记、区人大常委会党组书记、主任
