time,position
1976.03—1978.10, 北京市延庆县大柏老公社插队知青。
1978.10—1982.07, 中央财政金融学院金融系金融专业学习。
1982.07—1988.05, 国家计委固定资产投资局干部。
1988.05—1994.06, 国家计委固定资产投资司综合处副处长
1994.06—1996.10, 国家计委固定资产投资司综合处处长。
1996.10—1997.05, 国家计委固定资产投资司技改处处长。
1997.05—1998.06, 国家计委固定资产投资司副司长。
1998.06—2001.07, 国家计委投资司副司长。
2001.07—2003.04, 国家计委国外资金利用司司长。
2003.04—2004.11, 国家发展和技改革委员会国外资金利用司司长。
2004.11—2005.12, 广西壮族自治区人民政府主席助理、党组成员、自治区发展和改革委员会主任、党组书记。
2005.12—2007.12,广西壮族自治区人民政府副主席、党组成员、自治区发展和改革委员会主任、党组书记。
2007.12—2014.01,国家发展和改革委员会副主任、党组成员。
2014.01—2014.12,中央全面深化改革领导小组办公室专职副主任、兼任国家发展和改革委员会副主任、党组成员。
2014.12—,任中央全面深化改革领导小组办公室常务副主任、兼任国家发展和改革委员会副主任、党组成员（正部长级）
