time,position
1974.09—1977.03,河北省灵寿县管村供销社会计；
1977.03—1980.03,复旦大学计算机科学系程序设计专业学习；
1980.03—1985.07,河北省统计局计算中心干部；
1985.07—1987.10,河北省统计局计算中心主任科员、工程师；
1987.10—1991.09,河北省经济信息中心数据库和程序部主任科员、工程师；
1991.09—1992.06,河北省经济信息中心数据库和程序部副主任（正科级）；
1992.06—1993.02,河北省人民政府研究室（省经济研究中心）综合处主任科员；
1993.02—1995.02,河北省人民政府研究室（省经济研究中心）信息资料处副处长；
1995.02—1997.01,河北省人民政府研究室（省经济研究中心）教育科研处处长；
1997.01—1999.05,河北省人民政府研究室（省经济研究中心）副主任、党组成员、研究员；
1999.05—2001.07,河北省邯郸市委常委、市委组织部部长；
2001.07—2003.03,河北省邯郸市委副书记、市纪委书记；
2003.03—2003.04,河北省邯郸市委副书记、代市长；
2003.04—2004.03,河北省邯郸市委副书记、市长；
2004.03—2006.11,河北省邯郸市委书记；
2006.11—2007.12,河北省委常委、省委宣传部部长；
2007.12—2011.11,河北省委常委、省委宣传部部长、河北省社会科学界联合会主席；
2011.11—2012.10,河北省委常委、河北省人民政府副省长、党组副书记；
2012.10—2013.04,国家广播电影电视总局副局长、党组副书记；
2013.04—2015.04,国家新闻出版广电总局党组副书记、副局长；
2015.04—2016.09,国家新闻出版广电总局党组副书记、副局长、兼中央电视台分党组书记、台长
2016.09—,中央宣传部副部长、国家新闻出版广电总局局长、党组书记、国家版权局局长、兼中央电视台分党组书记、台长、中国共产党第十九届中央委员会委员、党的十九大代表
