time,position
1978.10—1982.08, 中南矿冶学院（现中南大学）金属材料工程系金属压力加工（材料科学）专业学习。
1982.08—1985.07, 哈尔滨市东北轻合金加工厂工学院教师、教研室主任。
1985.07—1986.10, 东北轻合金加工厂制管分厂技术股长。
1986.10—1992.01 ,东北轻合金加工厂技术处工程师、副科长、科长、副处长。
1992.01—1994.08 ,东北轻合金加工厂技术处处长。
1994.08—1995.01, 东北轻合金加工厂副总工程师兼技术处处长。
1995.01—1998.06 ,东北轻合金加工厂总工程师。
1998.06—1999.06 ,东北轻合金有限责任公司总经理。
1999.06—2000.12 ,西南铝加工厂厂长。
2000.12—2003.10,西南铝业（集团）有限责任公司董事长、总经理、党委委员。
2003.10—2004.04, 中国铝业公司副总经理、党组成员、西南铝业（集团）有限责任公司董事长、总经理。
2004.04—2004.06, 中国铝业集团公司党组书记、总经理。
2004.06—2009.02, 中国铝业集团公司党组书记、总经理、中国铝业股份有限公司执行董事、董事长、首席执行官。
2004.12—2009.02, 当选中国产业海外发展和规划协会副会长、荣获“2007年度CCTV中国经济年度人物”。
2009.02—2016.02, 国务院副秘书长、机关党组成员
2016.02—,国务院国有资产监督管理委员会主任、党委副书记
