time,position
1980.09—1986.08,清华大学水利工程系农田水利专业、水资源工程专业学习
1986.08—1990.03,清华大学水利工程系教师、系党委学生工作组副组长、组长
1990.03—1992.09,清华大学水利水电工程系党委副书记
1992.09—1995.09,日本东京大学土木工程系河川与流域环境专业博士研究生
1995.09—1996.12,日本INA株式会社河川计划部工作
1996.12—1997.03,清华大学水利水电工程系教师
1997.03—2000.01,清华大学水利水电工程系副主任
2000.01—2002.11,清华大学土木水利学院党委书记
2002.11—2003.09,清华大学党委组织部部长
2003.09—2004.08,清华大学教务处处长
2004.08—2006.02,清华大学人事处处长兼人才资源开发办公室主任
2006.02—2006.08,清华大学副校长
2006.08—2007.12,清华大学党委常务副书记兼副校长
2007.12—2008.12,清华大学党委常务副书记
2008.12—2013.11,清华大学党委书记（副部长级）
2013.11—2015.04,浙江省委常委、组织部部长
2015.04—2015.05,陕西省委副书记兼省委党校校长
2015.05—2016.03,陕西省委副书记兼省委党校校长、中国延安干部学院第一副院长（学院理事会副理事长）
2016.03—2016.04,陕西省委副书记兼省委党校校长、中国延安干部学院第一副院长（学院理事会副理事长）、省政府党组书记
2016.04—2016.10,陕西省委副书记、省政府省长、党组书记、省委党校校长（兼）、中国延安干部学院第一副院长（学院理事会副理事长）
2016.10—2016.12,陕西省委副书记、省政府省长、党组书记、中国延安干部学院第一副院长（学院理事会副理事长）
2016.12—2017.10,陕西省委副书记、省政府省长、党组书记
2017.10—,陕西省委书记、省政府省长、党组书记、第十八届中央候补委员、十九届中央委员、中共十八大、十九大代表、第十二届全国人大代表。第十三届陕西省委委员、陕西省第十三次党代会代表。陕西省第十二届人大代表。
