time,position
1974.04—1977.06,四川省西充县仁和公社知青、县团委副书记；
1977.06—1978.09,任四川省南充地委知青工作领导小组副组长；
1978.09—1982.07,西南政法学院师资班哲学专业学习；
1982.07—1985.06,西南政法学院法律系中国法律思想史专业硕士研究生；
1985.06—1986.07,任西南政法学院法律系助教、研究生处党总支副书记；
1986.07—1988.12,任西南政法学院团委书记；
1988.12—1991.06,任西南政法学院研究生处副处长、处长；
1991.06—1995.02,任西南政法学院党委副书记；
1995.02—1995.11,任西南政法学院党委书记；
1995.11—1996.11,任司法部政治部副主任（正局级）；
1996.11—2001.04,任司法部党组成员、政治部副主任；
2001.04—2004.07,任司法部党组成员、副部长；
2004.07—2010.05,任广东省委常委、组织部部长；
2010.05—2010.06,任最高人民检察院党组副书记（正部长级）；
2010.06—,任最高人民检察院党组副书记、副检察长（正部长级）、检察委员会委员、中央社会管理综合治理委员会委员、中央保密委员会委员、中央维护稳定工作领导小组成员
2017.04—,任审计署党组书记、审计长、中国共产党第十七届中央委员会候补委员、中国共产党第十八届、十九届中央委员会委、党的十九大代表
