time,position
1971.03—1972.09, 新疆维吾尔自治区乌鲁木齐县东风公社接受再教育
1972.09—1974.10, 新疆维吾尔自治区乌鲁木齐市陶瓷厂工人
1974.10—1977.10, 西北轻工学院轻工二系硅酸盐专业学习
1977.10—1984.01, 新疆维吾尔自治区乌鲁木齐市陶瓷厂技术员、车间主任、副厂长、代理厂长
1984.01—1986.11, 新疆维吾尔自治区乌鲁木齐市工业局党组成员、副局长
1986.11—1992.09, 新疆维吾尔自治区乌鲁木齐市经委党组成员、副主任
1992.09—1994.11, 新疆维吾尔自治区乌鲁木齐市市长助理
1994.11—1997.07, 新疆维吾尔自治区经贸委党组成员、副主任
1997.07—1999.09, 新疆维吾尔自治区机械电子工业厅（国防科学技术工业办公室）党组副书记、厅长（主任）
1999.09—2001.01, 新疆维吾尔自治区人民政府党组成员、秘书长、办公厅党组书记
2001.01—2001.10, 新疆维吾尔自治区副主席
2001—2008,　新疆维吾尔自治区党委常委(—2007年12)、政府副主席
2008—2013,　新疆维吾尔自治区人大常委会主任
2013—,　十二届全国人大常委会副委员长、新疆维吾尔自治区人大常委会主任（—2014年1）
