time,position
1969.12—1973,参加中国人民解放军、历任第31集团军92师274团二营战士、班长。
1973.09—1983,加入中国共产党、后任第31集团军92师274团二营排长、副指导员、营教导员。
1983—1985,任92师276团政治处主任。
1985—1987,任91师271团政治委员。
1987—1991,任92师274团政治委员。
1991.06—1995.07,任93师政治部主任。
1995.07—1999.08,任91师政治委员。
1999.08—2005.07,任第31集团军政治部主任。
2005.07—2010.12,任第12集团军政治委员。
2010.12—2012.07,任中国人民解放军兰州军区政治部主任。
2012.07—2014.07,任中国人民解放军兰州军区副政治委员兼纪委书记。
2014.07—2014.12,任中国人民解放军兰州军区政治委员。
2014.12—2017.09,任中国人民解放军海军政治委员。
2017.09—,任中央军委政治工作部主任。
2017.10—,任中国共产党中央军事委员会委员、中央军委政治工作部主任、党的十八大、十九大代表、中国共产党第十八届中央纪律检查委员会委员、中国共产党第十九届中央委员会委员。
