time,position
2000.10,曾任国家机械电子工业部第二十九研究所工程师、二室副主任、主任、国家机械电子工业部、电子工业部第二十九研究所副所长、国家机械电子工业部电子工业部第二十九研究所副所长、部科技与质量监督司副司长、国家电子工业部、信息产业部计算机与微电子发展研究中心(中国软件评测中心)主任兼党委副书记、书记。
2000.10—2002.03,国家信息产业部中国电子信息产业发展研究院院长；
2002.03—2008.03,国家信息产业部副部长、党组成员；
2008.04—2012.10,北京市人民政府副市长、党组成员；
2012.10—2013.07,北京市人民政府副市长、党组成员、中关村管委会党组书记；
2013.07—2016.04,北京市委常委、市委教工委书记、中关村管委会党组书记；
2016.04—2016.05,北京市委副书记、市委教工委书记、中关村管委会党组书记； 
2016.05—2016.06,北京市委副书记、市委教工委书记、中关村管委会党组书记、北京市委党校校长、北京行政学院院长； 
2016.06—2016.10,北京市委副书记、市委教工委书记、市委党校校长、北京行政学院院长、市对外友协会长；
2016.10—2016.11,国家体育总局局长、党组书记；
2016.11—,国家体育总局局长、党组书记、北京2022冬奥会和冬残奥会组织委员会执行主席兼中国奥委会主席、中国共产党第十九届中央委员会委员、党的十九大代表
