time,position
1974.12—1978.08,湖南省岳阳地区工艺美术厂工人
1978.08—1981.08,湖南财经学院财政系财政专业学习
1981.08—1995.02,中国农业银行计划部科员、副主任科员、副处长、处长、主任助理、副主任、主任
1995.02—1996.04,中国农业银行国际业务部总经理
1996.04—1997.03,中国人民银行银行司副司长
1997.03—1998.11,中国人民银行深圳特区分行行长、党组书记（正司长级）
1998.11—2000.06,中国人民银行广州分行行长、党委书记
2000.06—2002.09,中国人民银行行长助理、党委委员兼办公厅主任、党委办公室主任、工会工作委员会主任
2002.09—2004.05,湖北省政府副省长、党组成员
2004.05—2008.09,交通银行董事长、党委书记
2008.09—2011.11,国家开发银行副董事长、行长、党委副书记
2011.11—2014.08,中国农业银行董事长、党委书记
2014.08—2014.09,吉林省委副书记、省政府省长候选人
2014.09—2014.10,吉林省委副书记、省政府副省长、代理省长、党组书记
2014.10—2016.10,吉林省委副书记、省政府省长、党组书记
2016.10—2016.11,湖北省委书记
2016.11—2017.01,湖北省委书记、省军区党委第一书记
2017.01—,湖北省委书记、省人大常委会主任、省军区党委第一书记、中国共产党第十八届中央委员会候补委员、中国共产党第十九届中央委员会委员、曾任中国人民银行货币政策委员会委员、中国银行业协会会长、中国支付清算协会会长、党的十九大代表
