time,position
1970.12—1976.01,解放军某部战士、班长、政治处、宣传处干事；
1976.01—1978.03,在江苏省连云港市新海发电厂工作（党委秘书）；
1978.03—1985.04,新华社江苏分社记者；
1985.04—1992.05,新华社江苏分社副社长、党组成员、党组副书记；
1992.05—1993.04,新华社山东分社社长、党组书记；
1993.04—1998.04,新华社秘书长、党组成员；
1998.04—1998.08,新华社副社长、党组成员兼秘书长；
1998.08—2000.08,新华社副社长、党组成员；
2000.08—2001.04,新华社副社长、党组成员兼新华社常务副总编辑；
2001.04—2009.07,中共中央对外宣传办公室副主任、国务院新闻办公室副主任兼中国外文出版发行事业局局长；
2009.07—2009.10,中共中央对外宣传办公室副主任、国务院新闻办公室副主任；
2009.10—2012.09,中央宣传部副部长；
2012.09—2013.04,人民日报社总编辑；
2013.04—2014.12,中央宣传部副部长、中央对外宣传办公室主任、国务院新闻办公室主任；
2014.12—,新华社社长、党组书记、中共十六大、十七大、十八大、十九大代表、中国共产党第十八届、十九届中央委员会委员、第十届、十一届全国政协委员。
