time,position
1973—1975,　福建省永安县西洋公社插队知青
1975—1978,　福建师范大学政教系政教专业学习
1978—1983,　福建师范大学党委办公室干部
1983—1987,　福建省委办公厅综合处干部、副处长
1987—1991,　福建省委办公厅正处级秘书
1991—1992,　福建省委政改办副主任
1992—1993,　福建省委党建办副主任、省委办公厅厅务会议成员
1993—1996,　福建省委办公厅副主任、厅务会议成员
1996—1997,　福建省三明市委副书记
1997—1999,　福建省三明市委副书记、副市长、市长
1999—2002,　浙江省衢州市委副书记、市长
2002—2004,　浙江省衢州市委书记、市人大常委会主任
2004—2007,　浙江省台州市委书记
2007—2010,　浙江省杭州市委副书记、市长
2010—2013,　浙江省委常委、组织部部长
2013—2014,　浙江省委常委、副省长
2014—2015,　中央国家安全委员会办公室副主任
2015—2016,　中央国家安全委员会办公室主持常务工作的副主任（正部长级）
2016—2017,　北京市委副书记、代市长、市长、北京2022冬奥会和冬残奥会组织委员会执行主席、党组副书记
2017—2017,　北京市委书记、北京2022冬奥会和冬残奥会组织委员会主席、党组书记
2017—,　中央政治局委员、北京市委书记、北京2022冬奥会和冬残奥会组织委员会主席、党组书记
