time,position
1980.09—1984.07,北京航空学院飞机设计与应用力学系固体力学专业学习；
1984.07—1987.07,航天工业部五院501部空间飞行器设计专业硕士研究生；
1984.07—1992.05,航空航天工业部五院501部结构室助工、工程师、主任助理
1992.05—1994.08,航空航天工业部五院501部结构室副主任；
1994.08—1995.05,航天工业总公司五院501部副主任；
1995.05—1996.05,中国航天工业总公司第五研究院院长助理（正局级）、神舟飞船系统常务副总指挥；
1996.05—2003.01,中国航天工业总公司、中国航天科技集团公司第五研究院副院长、党委委员
2003.01—2006.05,中国航天科技集团中国空间技术研究院（五院）院长、党委副书记
2006.05—2007.12,中国航天科技集团中国空间技术研究院（五院）院长、党委副书记、中国科学技术协会第七届全国委员会副主席（兼职）；
2007.12—2012.03,中国航天科技集团副总经理、党组成员、中国科学技术协会第七届全国委员会副主席（兼职）
2012.03—2013.01,宁夏回族自治区党委常委、宁东能源化工基地党工委书记、管委会主任、中国科学技术协会第八届全国委员会副主席（兼职）；
2013.01—2013.04,宁夏回族自治区党委常委、区政府副主席、宁东能源化工基地党工委书记、管委会主任、中国科学技术协会第八届全国委员会副主席（兼职）；
2013.04—2014.07,宁夏回族自治区党委常委、区政府常务副主席、党组副书记、宁东能源化工基地党工委书记、管委会主任、中国科学技术协会第八届全国委员会副主席
2014.07—2014.08,浙江省委常委、副省长提名人选、中国科学技术协会第八届全国委员会副主席（兼职）；
2014.08—2016.06,浙江省委常委、省政府常务副省长、党组副书记、省委政法委副书记、中国科学技术协会第八届全国委员会副主席（兼职）；
2016.06—2016.10,浙江省委常委、省政府常务副省长、党组副书记、省委政法委副书记；
2016.10—2016.11,浙江省委副书记、政法委书记、省政府常务副省长、党组副书记；
2016.11—2017.04,浙江省委副书记、政法委书记；
2017.04—2017.07,浙江省委副书记、副省长、代省长、省政府党组书记、省委政法委书记；
2017.07—2017.09,浙江省委副书记、省长、省政府党组书记；
2017.09—,浙江省委副书记、省长、省政府党组书记、之江实验室理事长、中国共产党第十七届中央委员会候补委员、中国共产党第十九届中央委员会委员、浙江省总河长、党的十九大代表。
