time,position
1968.09—1972.06,在公安县第二中学学习。
1974—1976.02,为公安县基本路线教育工作队任专职队员。
1976.02—1978,参加中国人民解放军海军潜艇学院（山东青岛）新兵集训和专业训练后、在青岛潜艇基地第11艇员队服役。
1978—1981,在海军潜艇学院（山东青岛）学习。
1981—1982,青岛潜艇基地艇员队鱼雷长。
1982—1990,历任基地司令部鱼雷业务长、基地实习副艇长、副艇长。
1990.02—2003.12,某潜艇艇长。
2003.12—2007.06,潜艇第1基地参谋长。
2007.06—2010.10,潜艇第1基地司令员。
2010.10—2013.07,中国人民解放军海军北海舰队党委常委、参谋长。
2013.07—2014.07,中国人民解放军海军北海舰队副司令员。
2014.07—2016.02,中国人民解放军济南军区副司令员兼中国人民解放军海军北海舰队司令员。 
2016.02—2017.01,中国人民解放军北部战区副司令员兼北部战区海军司令员。
2017.01—,中国人民解放军南部战区司令、中国共产党第十九届中央委员会委员、党的十九大代表
