time,position
1966—1966,　空军第一航空预备学校学员
1966—1967,　陆军第三十八军一一二师三三五团当兵锻炼
1967—1968,　空军第八航空学校学员
1968—1969,　空军第五航空学校学员
1969—1970,　空军航空兵第二十六师七十七团飞行员
1970—1973,　空军航空兵第二十六师独立大队飞行员
1973—1976,　空军航空兵第二十六师独立大队副大队长
1976—1980,　空军航空兵第二十六师独立大队大队长
1980—1983,　空军航空兵第二十六师副师长
1983—1984,　空军航空兵第二十六师师长
1984—1985,　空军第四军副军长
1985—1986,　空军上海指挥所参谋长
1986—1988,　国防大学基本系学员
1988—1989,　空军第八军代理副军长
1989—1990,　空军第八军参谋长
1990—1993,　空军第八军军长
1993—1994,　空军副参谋长
1994—1999,　空军参谋长
1999—2004,　沈阳军区副司令员兼沈阳军区空军司令员
2004—2007,　解放军副总参谋长
2007—2007,　空军司令员
2007—2008,　中共中央军事委员会委员、空军司令员
2008—2012,　中共中央军事委员会委员、中华人民共和国中央军事委员会委员、空军司令员
2012—2013,　中央政治局委员、中共中央军事委员会副主席、中华人民共和国中央军事委员会委员
2013—,　中央政治局委员、中共中央军事委员会副主席、中华人民共和国中央军事委员会副主
