time,position
1978.10—1982.07,北京工业学院光学工程系光学系统设计与检验专业学习
1982.07—1984.09,兵器工业部第五五九厂科研所干部
1984.09—1987.07,北京理工大学光电工程系光学仪器专业硕士研究生
1987.07—1988.06,国家计委机关党委干部
1988.06—1992.07,国家计委工业二司、机电司电子处主任科员
1992.07—1997.08,国家计委机电司电子处副处长
1997.08—1998.07,国家计委机电司电子处处长
1998.07—2001.02,国家计委高技术产业发展司信息产业处处长
2001.02—2003.05,国家计委高技术产业发展司副司长
2003.05—2005.07,国家发展改革委高技术产业司副司长
2005.07—2008.04,国家发展改革委高技术产业司司长
2008.04—2010.05,广东省深圳市委常委、市政府副市长、党组副书记（挂职）、国家发展改革委高技术产业司司长
2010.05—2010.06,广东省深圳市委副书记、市政府副市长、党组副书记
2010.06—2016.12,广东省深圳市委副书记、市政府市长、党组书记
2016.12—2017.03,广东省委常委、深圳市委书记、市政府市长、党组书记
2017.03—2017.04,河北省委副书记、北京2022年冬奥会和冬残奥会组委会执行主席、党组副书记
2017.04—,河北省委副书记、省政府代省长、省长、党组书记、北京2022年冬奥会和冬残奥会组委会执行主席、党组副书记
