time,position
1975.07—1977.11,福建省福州市闽侯县荆溪公社下乡知青
1977.11—1978.10,福建省福州市橡胶厂工人
1978.10—1982.08,厦门大学中文系汉语言文学专业学习、获文学学士学位
1982.08—1987.07,国务院侨办秘书局干部
1987.07—1987.12,国务院侨办秘书局调研室副主任（副处级）
1987.12—1988.10,国务院侨办政策研究室副处级调研员
1988.10—1992.07,国务院侨办政策研究室正处级调研员
1992.07—1997.09,国务院侨办政研司副司长
1997.09—1999.12,国务院侨办经济科技司司长
1999.12—2000.01,国务院侨办党组成员兼经济科技司司长
2000.01—2001.03,国务院侨办党组成员兼国外司司长
2001.03—2012.05,国务院侨办副主任、党组成员
2012.05—2012.06,湖南省委常委
2012.06—2015.08,湖南省委常委、宣传部部长
2015.08—2016.11,湖南省委常委、秘书长、省直属机关工作委员会书记
2016.11—2017.01,湖南省人大常委会党组副书记 
2017.01—2017.04,湖南省人大常委会副主任、党组副书记
2017.04—,国务院侨务办公室党组书记、副主任
