time,position
1975.12—1978.03,江西省余干县河埠公社江坪大队知青
1978.03—1982.03,哈尔滨工业大学机械工程系机械制造专业学习
1982.03—1984.12,哈尔滨工业大学机械工程系机械制造专业研究生学习、获工学硕士学位
1984.12—1988.12,航天部、航空航天部一院15所九室设计员
1988.12—1990.03,航空航天部一院15所五室工程组长
1990.03—1992.12,航空航天部一院15所五室副主任
1992.12—1993.09,航空航天部、中国航天工业总公司一院15所五室主任
1993.09—1994.04,中国航天工业总公司一院15所副所长
1994.04—1995.01,中国航天工业总公司一院民品开发部副部长
1995.01—1997.07,中国航天工业总公司一院副院长（正厅级）
1997.07—1999.05,中国航天工业总公司一院副院长兼总工艺师
1999.05—2000.01,中国航天工业总公司、中国航天科技集团公司一院副院长、总工艺师兼211厂厂长
2000.01—2001.12,中国航天科技集团公司一院院长兼党委副书记
2001.12—2007.06,中国航天科技集团公司副总经理、党组成员
2007.06—2013.04,中国航天科工集团公司总经理、党组书记
2013.04—2013.12,中国航天科技集团公司董事长、党组书记
2013.12—2016.08,工业和信息化部副部长、党组副书记、国家航天局局长、国家原子能机构主任、国家国防科技工业局局长、党组书记、中央保密委员会委员、国家国防动员委员会委员、国务院中央军委专门委员会委员
2016.08—2016.09,湖南省委副书记、省人民政府党组书记
2016.09—2016.12,湖南省委副书记、省人民政府副省长、代理省长、党组书记
2016.12—,湖南省委副书记、省人民政府省长、党组书记
