time,position
1977.03—1978.04,在贵州省织金县供销知青队当知青、任团支部书记；
1978.04—1982.01,贵州大学历史系历史专业学习；
1982.01—1993.03,先后任贵州省委党校党史党建教研室助教、讲师、党史教研室副主任
1993.03—1995.08,先后任贵州省委党校人事处处长、省委党校党委委员、人事处处长；
1995.08—1998.08,先后任贵州省委党校副校长、党委委员、贵州省委党校（贵州行政学院）副校长（副院长）、党委委员
1998.08—1999.02,任贵州省委党校（贵州行政学院）副校长（副院长）、党委副书记；
1999.02—2001.12,任贵州省社科联党组书记、副主席；
2001.12—2003.01,任贵州省黔南州委副书记（保留正厅级）；
2003.01—2007.04,任贵州省铜仁地委副书记、行署专员；
2007.04—2007.05,任贵州省委常委、铜仁地委副书记、行署专员；
2007.05—2007.06,任贵州省委常委、宣传部部长、铜仁地委副书记、行署专员；
2007.06—2007.08,任贵州省委常委、宣传部部长；
2007.08—2012.05,任贵州省委常委、宣传部部长、省社科联主席（兼）；
2012.05—2012.06,任贵州省委常委、副省长（分管政府常务工作）、省社科联主席（兼）；
2012.06—2012.07,任贵州省委常委、副省长（分管政府常务工作）、省政府党组副书记、省社科联主席（兼）；
2012.07—2014.05,任贵州省委常委、副省长（分管政府常务工作）、省政府党组副书记；
2014.05—2015.04,任贵州省委常委、副省长（分管政府常务工作）、省政府党组副书记、省委金融工作委员会书记（兼）；
2015.04—2015.05,任贵州省委副书记、政法委书记、副省长、省维稳办主任（兼）；
2015.05—2015.10,任贵州省委副书记、政法委书记、省维稳办主任（兼）；
2015.10—2015.12,任贵州省委副书记、政法委书记、
2015.12—2017.04,任贵州省委副书记、政法委书记、省法学会会长（兼）；
2017.04—2017.09,任贵州省委副书记、政法委书记、省委党校校长（兼）、省法学会会长（兼）；
2017.09—,任贵州省委副书记、副省长、代省长、省政府党组书记、省委党校校长（兼）、中国共产党第十七届、十八届中央委员会候补委员、中国共产党第十九届中央委员会委员、贵州省九次党代会当选为省委候补委员、省委九届九次全会递补为省委委员、十届、十一届、十二届贵州省委委员
