time,position
1973.03—1976.12, 湖北省天门县知青
1976.12—1980.01, 华中工学院计算机系学习
1980.01—1983.08, 人民日报社技术处干部
1983.08—1986.09, 机械工业部机械科学研究院工业自动化专业硕士研究生
1986.09—1993.08, 国务院发展中心预测研究部助理研究员
1993.08—1994.02, 国务院发展研究中心信息研究部负责人（副局长级）
1994.02—1995.06, 国务院发展研究中心经济情报中心副主任
1995.06—1996.02, 国务院发展研究中心办公厅主任（正局长级）
1996.02—1999.10, 国务院发展研究中心党组成员、办公厅主任
1999.10—2006.10, 国务院发展研究中心副主任、党组成员、
2006.10—2008.05, 国家统计局局长、党组书记、中国人民银行货币政策委员会委员、国家信息化领导小组成员
2008.05—2008.09, 国务院研究室主任、党组书记、国家统计局局长、党组书记、中国人民银行货币政策委员会委员、国家信息化领导小组成员、国家应对气候变化及节能减排工作领导小组成员
2008.09—2008.10, 国务院研究室主任、党组书记、中国人民银行货币政策委员会委员、国家信息化领导小组成员、国家应对气候变化及节能减排工作领导小组成员
2008.10—2013.03, 国务院研究室主任、党组书记、国家信息化领导小组成员、国家应对气候变化及节能减排工作领导小组成员
2013.03—2013.04, 河南省委副书记、省政府党组书记
2013.04—2016.03, 河南省委副书记、省政府省长、党组书记、黄河防汛抗旱总指挥部总指挥
2016.03—2016.04, 河南省委书记、省政府省长、省人大常委会主任候选人、黄河防汛抗旱总指挥部总指挥
2016.04—, 河南省委书记、省人大常委会主任、中国共产党第十七届中央纪律检查委员会委员、中国共产党第十八届、十九届中央委员会委员、党的十八大、十九大代表 、河南省总河长。
