time,position
1974—1975, 青海省贵德县河东乡贡巴大队知青
1975—1977, 青海省商业厅通讯员
1977—1980, 北京大学哲学系哲学专业学习
1980—1982, 青海省商业厅政治处干事、省商业学校教师、校团委书记
1982—1983, 青海省商业学校教务科副科长
1983—1984, 青海省商业厅政治处副主任、厅团委书记
1984—1986, 青海省五金交电化工公司党委书记、经理
1986—1991, 青海省商业厅副厅长、党委副书记
1991—1993, 青海省商业厅厅长、党委书记
1993—1994, 青海省省长助理、省财政厅厅长、党组书记
1994—1995, 青海省副省长兼省财政厅厅长、党组书记
1995—1997, 青海省副省长
1997—1997, 青海省副省长、西宁市委书记
1997—1999, 青海省委副书记、西宁市委书记
1999—2000, 青海省委副书记、代省长
2000—2003, 青海省委副书记、省长
2003—2003, 青海省委书记、省长
2003—2004, 青海省委书记
2004—2007, 青海省委书记、省人大常委会主任
2007—2008, 陕西省委书记
2008—2012, 陕西省委书记、省人大常委会主任
2012—2017,　中央政治局委员、中央书记处书记、中央组织部部长
2017—, 中央政治局常委、中央纪律检查委员会书记
