time,position
1973.03—1975.03,山东省莱西县夏格庄公社宫家城中学民办教师
1975.03—1976.10,山东省莱西县农业学大寨工作队队员、夏格庄公社团委副书记
1976.10—1980.01,山东省莱西县夏格庄公社党委常委、姜山公社党委常委、宣传委员
1980.01—1982.09,共青团山东省莱西县委副书记
1982.09—1983.03,共青团山东省莱西县委书记
1983.03—1983.08,山东省莱西县南岚公社代理党委书记
1983.08—1984.04,山东省莱西县水集镇党委书记
1984.04—1987.03,山东省莱西县委副书记、县长
1987.03—1989.09,山东省即墨市委副书记、市长
1989.09—1991.09,山东省即墨市委书记
1991.09—1994.08,山东省城乡建设委员会副主任
1994.08—1997.12,山东省城乡建设委员会主任
1997.12—2001.01,山东省德州市委书记
2001.01—2001.02,山东省政府党组成员
2001.02—2006.01,山东省政府副省长、党组成员
2006.01—2006.03,山东省政府副省长、党组副书记
2006.03—2006.04,江苏省委常委
2006.04—2010.08,江苏省委常委、省政府副省长、党组副书记
2010.08—2010.09,贵州省委副书记、代省长
2010.09—2012.07,贵州省委副书记、省长
2012.07—2012.12,贵州省委书记、省长
2012.12—2013.01,贵州省委书记
2013.01—2015.07,贵州省委书记、省人大常委会主任
2015.07—2016.01,河北省委书记
2016.01—2017.10,河北省委书记、省人大常委会主任 
2017.10—2017.11,公安部党委书记
2017.11—,公安部部长、党委书记、中央政法委委员、第十八届、十九届中央委员、党的十九大代表
