time,position
1973.02—1979.12,任安徽省长丰县东方红公社知青、团委副书记、大队党支部书记、三和公社党委书记、杨公区委副书记；
1979.12—1988.02,任安徽省合肥市中级人民法院助理审判员、审判员、办公室秘书、副主任、刑一庭副庭长、庭长、院党组成员
1988.02—1989.03,任安徽省合肥市中级人民法院副院长、党组副书记；
1989.03—1990.12,任安徽省合肥市公安局副局长、党委副书记；
1990.12—1993.05,任安徽省合肥市公安局局长、党委副书记、书记；
1993.05—1995.03,任安徽省合肥市委副书记；
1995.03—1999.05,任安徽省合肥市委副书记、常务副市长
1999.05—2000.01,任安徽省合肥市委副书记、代市长；
2000.01—2001.03,任安徽省合肥市委副书记、市长；
2001.03—2001.10,任安徽省合肥市委书记；
2001.10—2003.01,任安徽省委常委、合肥市委书记；
2003.01—2005.03,任安徽省委常委、合肥市委书记、市人大常委会主任；
2005.03—2006.11,任河北省委常委、政法委书记；
2006.11—2008.05,任河北省委常委、组织部部长；
2008.05—2008.09,任河北省委副书记；
2008.09—2010.05,任河北省委副书记、石家庄市委书记；
2010.05—2010.08,任新疆维吾尔自治区党委副书记、新疆生产建设兵团党委书记、政委、中国新建集团公司董事长；
2010.08—2015.04,任新疆维吾尔自治区党委副书记、新疆生产建设兵团党委书记、政委、中国新建集团公司董事长、中央新疆工作协调小组成员；
2015.04—2016.06,任新疆维吾尔自治区党委副书记（正部长级）；
2016.06—2016.07,任浙江省委副书记、省人民政府党组书记；
2016.07—2017.01,任浙江省委副书记、省人民政府副省长、代省长、党组书记；
2017.01—2017.04,任浙江省委副书记、省人民政府省长、党组书记；
2017.04—2017.07,任浙江省委书记、省人大常委会主任候选人；
2017.07—,任浙江省委书记、省人大常委会主任。
