time,position
1975.07—1978.11,青海省玉树州委办公室通讯员、秘书
1978.11—1987.10,青海省玉树州人民检察院干部、助理检察员、副检察长
1987.10—1989.01,青海省委打击经济犯罪办公室副主任
1989.01—1991.07,青海省人民检察院干部、检察员、经济检察处处长、检察委员会委员
1991.07—1993.12,青海省委政法委秘书长（副厅级）
1993.12—1995.12,最高人民检察院贪污贿赂检察厅副厅级干部、副厅长
1995.12—1997.05,最高人民检察院法纪检察厅厅长
1997.05—1999.08,最高人民检察院检察委员会委员、法纪检察厅厅长
1999.08—1999.12,最高人民检察院党组成员、检察委员会委员、法纪检察厅厅长
1999.12—2000.02,最高人民检察院党组成员、检察委员会委员
2000.02—2001.06,最高人民检察院党组成员、政治部主任、检察委员会委员
2001.06—2002.09,最高人民检察院副检察长、党组成员、检察委员会委员
2002.09—2007.10,最高人民检察院副检察长、党组副书记、检察委员会委员
2007.10—2017.06,最高人民检察院副检察长、党组副书记、检察委员会委员、一级大检察官
2017.06—,最高人民检察院副检察长、党组副书记、检察官遴选委员会副主任、检察委员会委员、一级大检察官
