time,position
1976.01—1978.10,甘肃省渭源县路园公社知青
1978.10—1982.07,西北工业大学飞行器制造工程系学习
1982.07—1983.05,中航工业兰州飞控仪器总厂机加分厂技术员
1983.05—1984.04,中航工业兰州飞控仪器总厂团委副书记
1984.04—1985.03,中航工业兰州飞控仪器总厂团委书记
1985.03—1986.01,中航工业兰州飞控仪器总厂厂长助理
1986.01—1990.06,中航工业兰州飞控仪器总厂综合计划处处长
1990.06—1992.01,中航工业兰州飞控仪器总厂塑编分厂厂长
1992.01—1993.03,中航工业兰州飞控仪器总厂机加分厂厂长
1993.03—1994.03,中航工业兰州飞控仪器总厂经营副厂长
1994.03—1999.02,中航工业兰州飞控仪器总厂厂长、党委副书记
1999.02—2000.08,甘肃省经贸委副主任（正厅级）
2000.08—2002.02,甘肃省兰州市委常委、副市长（正厅级）
2002.02—2003.11,甘肃省兰州市委副书记、副市长（正厅级）
2003.11—2006.06,西藏自治区副主席
2006.06—2006.10,西藏自治区党委常委、自治区副主席
2006.10—2006.11,西藏自治区党委副书记、自治区副主席
2006.11—2010.12,西藏自治区党委副书记、自治区常务副主席
2010.12—2011.11,西藏自治区党委副书记、政法委书记、自治区常务副主席、自治区党委党校校长
2011.11—2012.04,西藏自治区党委副书记、政法委书记、自治区党委党校校长
2012.04—2013.03,西藏自治区党委副书记、自治区党委党校校长
2013.03—2013.04,青海省委副书记、副省长、代省长、省政府党组书记
2013.04—2016.12,青海省委副书记、省长、省政府党组书记
2016.12—,国务院国有资产监督管理委员会党委书记、中国共产党第十八届中央委员会候补委员、中国共产党第十九届中央委员会委员、党的十九大代表。
