time,position
1973—1977,江西省兴国县五里亭公社知青
1977—1979,江西冶金学院矿业系选矿专业学习
1979—1985,冶金部画眉坳钨矿机选车间技术员、工段长、党支部书记、生产副主任、行政副主任、主任
1985—1990,中国有色金属工业总公司画眉坳钨矿矿长
1990—1992,中国有色金属工业总公司画眉坳钨矿矿长兼贵溪银矿建设指挥部总指挥、党委书记
1992—1993,中国有色金属工业总公司贵溪银矿矿长、党委书记
1993—1997,中国有色金属工业总公司南昌公司经理、党组书记
1997—1998,中国有色金属工业总公司副总经理、党组成员
1998—1999,国家有色金属工业局党组成员
1999—2000,国家有色金属工业局副局长、党组成员
2000—2001,国务院国有重点大型企业监事会主席、中国铝业公司筹备组组长
2001—2004,中国铝业公司总经理、党组书记兼中铝股份有限公司董事长、总裁
2004—2007,广西壮族自治区党委副书记、区政府副主席、党组副书记
2007—2008,广西壮族自治区党委书记
2008—2012,广西壮族自治区党委书记、区人大常委会主任
2012—2013,公安部部长、党委书记
2013—2017,国务委员、国务院党组成员兼公安部部长、党委书记、中央政法委员会副书记、武装警察部队第一政委、党委第一书记
2017—,　中央政治局委员、中央书记处书记、国务委员、国务院党组成员、中央政法委员会书记、武装警察部队第一政委、党委第一书记
