time,position
1974.08—1978.03,内蒙古自治区四子王旗红格尔公社插队；
1978.03—1982.02,南开大学哲学系哲学专业学习；
1982.02—1985.02,中国社会科学院研究生院马列系科学社会主义专业硕士研究生；
1985.02—1988.07,中国社会科学院马列所助理研究员
1988.09—1993.04,国家计委经研中心综合组副组长（副司级）；
1993.04—1995.09,国家经济体制改革委员会综合规划和试点司司长；
1995.09—1996.02,国家经济体制改革委员会宏观调控体制司司长；
1996.02—1998.03,国家经济体制改革委员会党组成员、秘书长兼机关党委副书记；
1998.03—1998.07,国务院经济体制改革办公室党组成员兼机关党委副书记；
1998.07—2001.03,贵州省副省长；
2001.03—2005.03,中国人民银行副行长、党委委员、国家外汇管理局局长、党组书记
2005.03—2009.03,中国建设银行董事长、党委书记、中国信达资产管理公司党委书记、中国建银投资有限责任公司党委书记；
2009.01—2010.07,中国建设银行董事长、党委书记、中国信达资产管理公司党委书记；
2010.07—2011.10,中国建设银行董事长、党委书记；
2011.10—2013.03,中国证券监督管理委员会主席、党委书记；
2013.03—2013.06,山东省委副书记、副省长、代理省长、省政府党组书记；
2013.06—2017,山东省委副书记、省长、省政府党组书记；
2017.02—,中国银行业监督管理委员会主席、党委书记。
2017.03—,央行货币政策委员会委员、中国共产党第十七届中央委员会候补委员、中国共产党第十八届、十九届中央委员会委员、第十届全国政协委员、党的十九大代表。
