time,position
1973.02—1975.09,吉林省梨树县白山公社插队；
1975.09—1977.08,吉林省水电学校学生；
1977.08—1979.09,吉林省水利设计院干部；
1979.09—1983.08,华北水利水电学院（现华北水利水电大学）水工专业学生；
1983.08—1993.06,水电部、水利部办公厅部长秘书、水利部计划司干部、计划司计划处副处长、计划司计划处处长、计划司副司长；
1993.06—1994.06,海河水利委员会副主任、党组副书记；
1994.06—1997.05,海河水利委员会主任、党组书记；
1997.05—2001.05,黄河水利委员会主任、党组书记；
2001.05—2003.08,水利部党组成员、国家防汛抗旱总指挥部秘书长兼办公室主任；
2003.08—2008.07,水利部副部长、党组成员、国家防汛抗旱总指挥部秘书长兼办公室主任；
2008.07—2009.04,水利部副部长、党组副书记、国家防汛抗旱总指挥部秘书长兼办公室主任；
2009.04—2010.07,水利部副部长、党组副书记、国家防汛抗旱总指挥部副总指挥；
2010.07—,国务院南水北调工程建设委员会办公室主任、党组书记、水利部副部长、党组副书记、国家防汛抗旱总指挥部副总指挥、中国共产党第十八届中央委员会候补委员、中国共产党第十九届中央委员会委员、党的十九大代表
