time,position
1957.09—,出生于北京、后在古城保定度过了童.和少.；
1975—,于保定高中毕业后到河北省博野县农村插队、开始发表作品；
1979.01—,高中毕业后作为知青到河北省保定地区博野县张岳大队插队；
1979.01—1980.01,河北省保定地区文化局创作组创作人员；
1984.07—1986.12,河北省保定地区文联《花山》编辑部编辑；
1986.12—1992.10,河北省文联创作室专业作家；
1992.10—1996.05,河北省文联副主席、省作协副主席、党组成员；
1996.05—1996.12,河北省文联副主席、党组成员、省作协副主席、党组副书记；
1996.12—2001,河北省文联副主席、党组成员、省作协主席、党组副书记；
2001—2006.11,在中国作家协会第6次代表大会上、再次当选为副主席；
2006.11—2011,中国作协副主席、河北省文联副主席、党组成员、省作协主席、党组副书记；
2006.11—2011,中国作家协会主席、河北省文联副主席、省作家协会主席；
2007.12—,当选河北省作家协会名誉主席。
2011.11—2016.12,连任中国作家协会主席。
2016.12—,中国作家协会主席、中国文联主席、中共十六届、十七届中央候补委员、中国共产党第十八届、十九届中央委员会委员、中共十三大、十四大、十五大、十六大、十七大、十九大代表、中国共产党第十八次全国代表大会主席团成员
