time,position
1975.09—1978.12,湖北省武汉市民众服装厂工人、市服装鞋帽工业公司宣传科干事
1978.12—1982.02,湖北省武汉市二轻局办公室、秘书科秘书
1982.02—1985.02,武汉大学经济管理系工业经济管理专业学习
1985.02—1992.02,湖北省武汉市政府办公室调研处、秘书处干部、科长、市政府办公厅综合处副处长、处长
1992.02—1993.06,湖北省武汉市政府办公厅副主任
1993.06—1994.04,湖北省武汉市政府副秘书长
1994.04—1995.09,湖北省武汉市政府副秘书长、市证券管理委员会办公室主任
1995.09—1997.12,湖北省武汉市武昌区委书记
1997.12—1998.03,湖北省武汉市委秘书长
1998.03—2001.11,湖北省黄石市委副书记、市长
2001.11—2002.12,湖北省政府秘书长、办公厅主任
2002.12—2004.09,湖北省襄樊市委书记、市人大常委会主任
2004.09—2007.06,湖北省政府副省长
2007.06—2007.12,湖北省委常委、省政府副省长
2007.12—2011.01,湖北省武汉市委副书记、代市长、市长 
2011.01—2011.02,湖北省委常委、武汉市委书记、市长 
2011.02—2016.12,湖北省委常委、武汉市委书记、市人大常委会主任
2016.12—2017.01,云南省委副书记、省政府副省长、代省长、党组书记
2017.01—,云南省委副书记、省政府省长、党组书记
