time,position
1985.09—1989.08,北京大学经济管理系国民经济管理学专业学习、北京大学学生会主席、系学生党支部书记
1989.08—1994.02,北京制呢厂职工、厂属金时代呢绒时装厂副厂长、厂长助理
1994.02—1995.11,北京制呢厂副厂长
1995.11—1998.12,北京制呢厂厂长、党委副书记
1998.12—1999.08,北京纺织控股（集团）有限责任公司党委常委、董事、副总经理
1999.08—1999.11,中关村科技园区管委会副主任、党组副书记
1999.11—2001.06,中关村科技园区管委会主任、党组书记、海淀区委副书记
2001.06—2003.01,中关村科技园区管委会党组书记、常务副主任、海淀区委副书记
2003.01—2003.02,北京市副市长、中关村科技园区管委会党组书记、常务副主任
2003.02—2003.09,北京市副市长、市委工业工委书记、市经委主任
2003.09—2008.04,北京市副市长
2008.04—2013.03,共青团中央书记处第一书记
2013.03—2013.06,黑龙江省委副书记、代省长、省政府党组书记
2013.06—,黑龙江省委副书记、省长、省政府党组书记、中国共产党第十八届、十九届中央委员会委员、党的十九大代表
