time,position
1973—1977,　陆军一军三师炮团服役
1977—1978,　河南省驻马店汽车配件厂工人
1978—1981,　郑州大学经济系政治经济学专业学习
1981—1983,　河南省平舆县辛店公社工作
1983—1985,　河南省驻马店地委办公室秘书（副县级）
1985—1988,　河南省驻马店地委副秘书长、地委政策研究室主任
1988—1992,　河南省遂平县委书记
1992—1994,　河南省驻马店地委委员、遂平县委书记
1994—1996,　河南省平顶山市委常委、组织部部长
1996—1998,　河南省漯河市委副书记、市长
1998—2000,　河南省副省长
2000—2001,　河南省委常委、组织部部长、副省长
2001—2003,　河南省委常委、组织部部长
2003—2004,　河南省委副书记、组织部部长
2004—2009,　河南省委副书记
2009—2010,　河北省委副书记、代省长
2010—2011,　河北省委副书记、省长
2011—2016,　西藏自治区党委书记
2016—2017,　新疆维吾尔自治区党委书记、新疆生产建设兵团第一政委
2017—,　中央政治局委员、新疆维吾尔自治区党委书记、新疆生产建设兵团第一政委
