time,position
1981.09—1986.07,清华大学土木与环境工程系环境工程专业学习、获理学学士学位；
1986.07—1988.10,清华大学环境工程系环境工程专业硕士研究生学习、获理学硕士学位；
1988.10—1989.07,英国布鲁耐尔大学生物化学系攻读博士学位；
1989.07—1992.11,英国帝国理工医学院土木系环境系统分析专业攻读博士学位、获理学博士学位；
1992.11—1994.12,英国帝国理工医学院博士后；
1994.12—1998.03,英国帝国理工医学院助理研究员；
1998.03—1999.07,清华大学环境科学与工程系副主任；
1999.07—2006.02,清华大学环境科学与工程系主任；
2006.02—2007.12,清华大学副校长；
2007.12—2012.01,清华大学常务副校长（正局级）；
2012.01—2015.01,清华大学校长（副部长级）；
2015.01—2015.02,环境保护部党组书记；
2015.02—2017.05,环境保护部党组书记、部长；
2017.05—2017.06,北京市委副书记、副市长、代市长、市政府党组书记、北京冬奥组委党组副书记； 
2017.06—,北京市委副书记、副市长、代市长、市政府党组书记、北京冬奥组委党组副书记、执行主席、中国共产党第十九届中央委员会委员、党的十九大代表。
