time,position
1974.05—1975.12,甘肃省兰州市榆中县小康营公社插队知青；
1975.12—1978.09,甘肃省兰州市榆中县邮电局机线员；
1978.09—1982.08,北京大学经济系政治经济学专业学习；
1982.08—1983.11,甘肃省商业厅组技处干事；
1983.11—1985.01,甘肃省商业厅政策研究室副主任；
1985.01—1986.09,甘肃省委经济部办公室副主任；
1986.09—1988.11,甘肃省委经济部调研处处长、甘肃省人民政府办公厅政策研究室副主任；
1988.11—1989.08,甘肃省人民政府经济技术社会发展研究中心政策研究室主任；
1989.08—1991.06,甘肃省人民政府经济技术社会发展研究中心副地级政策研究员；
1991.06—1994.04,甘肃省人民政府发展研究中心副主任；
1994.04—1996.11,甘肃省人民政府发展研究中心（研究室）主任；
1996.11—1999.01,甘肃省人民政府副秘书长、办公厅党组成员、省政府发展研究中心（研究室）主任；
1999.01—2002.04,甘肃省酒泉地委书记；
2002.04—2003.12,甘肃省委常委、省委宣传部部长；
2003.12—2004.11,甘肃省委常委、省委宣传部部长兼省社科联主席；
2004.11—2005.03,甘肃省委常委、兰州市委书记兼省社科联主席；
2005.03—2005.08,甘肃省委常委、兰州市委书记、市人大常委会主任兼省社科联主席；
2005.08—2007.02,甘肃省委常委、兰州市委书记、市人大常委会主任；
2007.02—2008.06,甘肃省委常委、兰州市委书记；
2008.06—2013.03,中央党校副校长；
2013.03—2016.06,国家行政学院党委书记、副院长（正部长级）；
2016.06—2016.07,教育部党组书记；
2016.07—,教育部部长、党组书记、中共第十七届中央候补委员、中国共产党第十八届、十九届中央委员会委员、中共第十七大、十八大、十九大代表、中共甘肃省第十届省委委员
