time,position
1970—1975,福州大学机械厂工人
1975—1979,清华大学化工系基本有机合成专业学习
1979—1979,福州大学化工系教师
1979—1982,清华大学化学与化学工程系催化动力学专业硕士研究生
1982—1984,清华大学校团委军体部部长、副书记
1984—1987,清华大学团委书记、校党委学生工作部副部长、校党委常委
1987—1990,清华大学党委常委、学生工作部部长、校团委书记
1990—1990,清华大学教师、北京语言学院英语短期培训班学习
1990—1992,美国斯坦福大学访问学者
1992—1993,清华大学化工系教师、系党委副书记
1993—2000,清华大学党委副书记、工会主席、体委主任
2000—2002,清华大学党委常务副书记
2002—2008,清华大学党委书记（副部长级）
2008—2010,教育部副部长、党组副书记
2010—2011,辽宁省委副书记
2011—2013,中国科学技术协会党组书记、主持常务工作的副主席、书记处第一书记
2013—2017,中央组织部主持常务工作的副部长（正部长级）
2017—, 中央政治局委员、中央书记处书记、中央组织部部长、中央党校校长
