time,position
1978—1981,　绍兴师范专科学校中文系学习
1981—1982,　绍兴师范专科学校宣传部干事
1982—1983,　浙江省委党校理论师资班学习
1983—1984,　浙江省绍兴市委党校理论教员
1984—1987,　浙江省绍兴市委宣传部干事、副科长
1987—1989,　浙江省绍兴县委常委、宣传部部长
1989—1990,　浙江省绍兴市委宣传部副部长
1990—1991,　浙江省绍兴县委副书记
1991—1994,　浙江省绍兴县委副书记、县长
1994—1996,　浙江省绍兴县委书记
1996—1997,　浙江省绍兴市委常委、绍兴县委书记
1997—1999,　浙江省宁波市委常委、副市长
1999—1999,　浙江省宁波市委副书记
1999—2001,　浙江日报报业集团社长、党委书记
2001—2002,　浙江省委宣传部部长
2002—2007,　浙江省委常委、宣传部部长
2007—2012,　浙江省委常委、副省长
2012—2012,　贵州省委副书记
2012—2013,　贵州省委副书记、代省长
2013—2015,　贵州省委副书记、省长
2015—2016,　贵州省委书记
2016—2017,　贵州省委书记、省人大常委会主任
2017—2017,　重庆市委书记
2017—,　中央政治局委员、重庆市委书记
