time,position
1980.09—1984.07,西南政法学院法律系法律专业学习；
1984.07—1986.12,四川省乐山市彭山县公安局谢家镇派出所民警、金口河区公安分局副局长；
1986.12—1990.06,四川省乐山市五通桥区公安分局副局长、局长；
1990.06—1992.12,四川省乐山市公安局副局长；
1992.12—1994.08,四川省乐山市公安局局长；
1994.08—1997.01,四川省国家安全厅副厅长；
1997.01—1998.01,四川省国家安全厅副厅长、党组副书记、书记
1998.01—2002.04,四川省国家安全厅厅长、党组书记、省政府副秘书长；
2002.04—2006.08,四川省人民检察院检察长；
2006.08—2011.05,福建省委常委、省纪委书记；
2011.05—2011.09,福建省委副书记、省纪委书记；
2011.09—2012.11,福建省委副书记；
2012.11—2015.04,中央纪委副书记；
2015.04—2016.11,国家安全部党委书记；
2016.11—,国家安全部部长、党委书记、中央政法委员会委员、第十七届中央纪委委员、中央纪委常委、副书记、十八届中央纪委委员、常委、副书记、党的十九大代表、中国共产党第十九届中央委员会委员。
