time,position
1972—1975,广西南宁市第一粮库、西平桥大米厂工人
1975—1978,广西南宁市粮食局政工科干部
1978—1982,广西大学哲学系哲学专业学习
1982—1986,广西壮族自治区计划委员会综合处干部、主任科员
1986—1992,广西壮族自治区计划委员会综合处副处长
1992—1993,广西壮族自治区计划委员会综合处处长
1993—1994,广西南宁地区行署专员助理
1994—1995,广西南宁地区行署副专员
1995—1998,广西南宁地委委员、行署副专员
1998—2000,广西壮族自治区人民政府经济体制改革委员会办公室主任
2000—2003,广西壮族自治区人民政府副秘书长（正厅级）、办公厅副主任、党组成员、自治区人民政府发展研究中心主任、党组书记
2003—2005,广西壮族自治区人民政府秘书长、党组成员、办公厅主任、党组书记
2005—2008,广西壮族自治区人民政府副主席、党组成员、北部湾（广西）经济区规划建设管理委员会办公室主任、党组书记
2008—2011,广西壮族自治区党委常委、自治区人民政府副主席、党组成员、北部湾（广西）经济区规划建设管理委员会办公室主任、党组书记（兼）、钦州保税港区管理委员会主任、党工委书记（2009.09—2011.03兼）、凭祥综合保税区管理委员会主任、党工委书记（2011.03兼）
2011—2011,广西壮族自治区党委常委、自治区人民政府副主席、党组成员、南宁市委书记、北部湾（广西）经济区规划建设管理委员会办公室主任、党组书记（兼）、凭祥综合保税区管理委员会主任、党工委书记（兼）
2011—2013,广西壮族自治区党委常委、南宁市委书记
2013—2013,广西壮族自治区党委副书记、自治区人民政府副主席、代主席、党组书记、南宁市委书记
2013—,广西壮族自治区党委副书记、自治区人民政府主席、党组书记、南宁市委书记、中国共产党第十八届、十九届中央委员会委员、党的十九大代表、广西壮族自治区党委第九届委员、常委、第十、十一届委员、常委、副书记
