time,position
1973.03—1975.09,湖南省城步县联兴小学民办教师、校负责人
1975.09—1978.10,国防科技大学电子工程系雷达对抗专业学习
1978.10—1983.09,航天工业部一院十四所四室设计员
1983.09—1988.02,航天工业部一院政治部组织处干事、院办秘书处秘书、政治部秘书处副处长
1988.02—1991.08,航天工业部一院二四○厂部门主任、副厂长、厂党总支书记
1991.08—1994.05,航空航天工业部一院政治部干部处处长
1994.05—1995.05,中国航天工业总公司一院办公室副主任
1995.05—1997.02,中国航天工业总公司人事劳动教育部副经理
1997.02—1998.07,中国航天工业总公司人事劳动教育局局长
1998.07—2000.11,国防科学技术工业委员会人事教育司司长
2000.11—2005.07,中央纪委驻国防科学技术工业委员会纪检组组长、国防科学技术工业委员会党组成员
2005.07—2007.01,国防科学技术工业委员会副主任、党组成员、中央保密委员会委员（2005.12）
2007.01—2008.03,国防科学技术工业委员会副主任、党组副书记、中央保密委员会委员
2008.03—2008.08,工业和信息化部副部长、党组成员、国家国防科技工业局局长、党组书记、中央保密委员会委员、国务院振兴东北地区等老工业基地领导小组成员
2008.08—2010.07,工业和信息化部副部长、党组成员、国家原子能机构主任、国家国防科技工业局局长、党组书记、中央保密委员会委员、国务院中央军委专门委员会委员、国务院振兴东北地区等老工业基地领导小组成员
2010.07—2011.06,工业和信息化部副部长、党组成员、国家航天局局长、国家原子能机构主任、国家国防科技工业局局长、党组书记、中央保密委员会委员、国务院中央军委专门委员会委员、国务院振兴东北地区等老工业基地领导小组成员
2011.06—2013.01,工业和信息化部副部长、党组副书记兼部直属机关党委书记、国家航天局局长、国家原子能机构主任、国家国防科技工业局局长、党组书记、中央保密委员会委员、国务院中央军委专门委员会委员、国务院振兴东北地区等老工业基地领导小组成员
2013.01—2015.04,湖南省政协主席、党组书记
2015.04—2015.05,辽宁省委副书记
2015.05—2015.06,辽宁省委副书记、省政府代省长、党组书记
2015.06—2017.10,辽宁省委副书记、省政府省长、党组书记
2017.10—,辽宁省委书记、第十八届、十九届中央委员、第十二届全国人大代表、党的十九大代表。
