time,position
1975.09—1976.11,湖南省茶陵县思聪公社秘书
1976.11—1977.12,湖南省茶陵县商业局干事
1977.12—1981.01,湖南省茶陵县委办公室干事
1981.01—1983.09,湖南省茶陵县马江公社（乡）党委书记
1983.09—1985.07,湖南农学院农学专修科农学专业学习
1985.07—1987.04,湖南省茶陵县委常委、副县长
1987.04—1990.09,湖南省茶陵县委副书记、县长
1990.09—1992.09,湖南省茶陵县委书记
1992.09—1994.09,湖南省郴州地委委员、郴州市（县级）委书记
1994.09—1995.04,湖南省郴州地委副书记
1995.04—1997.08,湖南省郴州市委副书记
1997.08—1998.02,湖南省娄底地委副书记、行署副专员
1998.02—1999.02,湖南省娄底地委副书记、行署专员
1999.02—2000.04,湖南省地质矿产厅副厅长、党组副书记
2000.04—2001.01,湖南省湘潭市委副书记、代市长
2001.01—2003.02,湖南省湘潭市委副书记、市长
2003.02—2006.11,湖南省湘潭市委书记
2006.11—2013.04,湖南省委常委、长沙市委书记
2013.04—2016.03,黑龙江省委副书记
2016.03—2016.04,河南省委副书记、省人民政府党组书记
2016.04—,河南省委副书记、省人民政府省长、党组书记、十七届、十八届中央候补委员、中国共产党第十九届中央委员会委员、党的十八大、十九大代表、河南省总河长
