time,position
1970.12—1972.02,新疆维吾尔自治区玛纳斯县、乌鲁木齐县知青；
1972.02—1974.02,新疆维吾尔自治区乌鲁木齐市第三十二小学代课教师；
1974.02—1978.03,新疆维吾尔自治区乌鲁木齐县地窝堡学校教师；
1978.03—1980.06,湖北江汉石油学院计算机专业学习；
1980.06—1984.06,新疆石油地球物理研究所技术员；
1984.06—1988.05,新疆维吾尔自治区经委工业处副主任科员、主任科员；
1988.05—1992.11,新疆维吾尔自治区经委工业调度处副处长；
1992.11—1993.08,新疆维吾尔自治区经委工业调度处处长；
1993.08—1997.02,新疆维吾尔自治区经委外经处处长；
1997.02—1997.07,新疆维吾尔自治区经贸委副秘书长兼外经处处长；
1997.07—2000.07,新疆维吾尔自治区经贸委党组成员、副主任
2000.07—2000.12,新疆维吾尔自治区经贸委（国防工办）党组成员、副主任；
2000.12—2001.03,新疆维吾尔自治区乌鲁木齐市委副书记、代市长；
2001.03—2005.12,新疆维吾尔自治区乌鲁木齐市委副书记、市长
2005.12—2006.01,新疆生产建设兵团党委常委；
2006.01—2009.07,新疆生产建设兵团党委常委、副政委
2009.07—2011.06,新疆生产建设兵团党委常委、副政委、中华全国归侨联合会副主席（兼职）；
2011.06—2013.12,全国人大民族委员会副主任委员（副部长级）、中华全国归侨联合会副主席（兼职）；
2013.12—2014.01,新疆维吾尔自治区人大常委会党组书记、主任候选人；
2014.01—2014.12,新疆维吾尔自治区人大常委会主任、党组书记；
2014.12—2015.01,新疆维吾尔自治区党委副书记、区政府代主席、党组书记；
2015.01—,新疆维吾尔自治区党委副书记、区政府主席、党组书记、中国共产党第十九届中央委员会委员、第十届、十一届、十二届全国人大代表、新疆总河长。
