time,position
1975—1980,上海徐汇起重安装队仓库管理员、供销股办事员、团总支副书记
1980—1982,上海市化工装备工业公司干事、团委负责人
1982—1986,上海市化工局团委书记
1986—1987,上海市化工专科学校党委副书记
1987—1988,上海胶鞋厂党委书记、副厂长
1988—1990,上海大中华橡胶厂党委书记、副厂长
1990—1991,共青团上海市委副书记（主持工作）
1991—1992,共青团上海市委书记
1992—1993,上海市卢湾区委副书记、代区长
1993—1995,上海市卢湾区委副书记、区长
1995—1997,上海市政府副秘书长、市综合经济工作党委副书记、市计委主任、党组书记、市证券管理办公室主任
1997—1998,上海市委常委、市政府副秘书长
1998—2002,上海市委常委、副市长
2002—2003,上海市委副书记、副市长
2003—2004,上海市委副书记、市长
2004—2006,上海市委副书记、市长、2010.上海世界博览会组织委员会副主任委员、执行委员会执行主任
2006—2007,上海市委代理书记、市长、2010.上海世界博览会组织委员会副主任委员、第一副主任委员、执行委员会执行主任、执行委员会主任
2007—2008,上海市委副书记、市长、2010.上海世界博览会组织委员会第一副主任委员、执行委员会主任
2008—2011,上海市委副书记、市长、2010.上海世界博览会组织委员会副主任委员、执行委员会执行主任
2011—2012,上海市委副书记、市长
2012—2017,中央政治局委员、上海市委书记
2017—,中央政治局常委
