time,position
1973.02—1975.10, 黑龙江省宾县满井公社千和学校民办教师、千和大队党支部书记
1975.10—1976.07, 在黑龙江省呼兰师范学校延寿分校学习
1976.07—1979.06, 中共黑龙江省宾县县委组织部干部、团县委副书记
1979.06—1987.04, 共青团中央青农部干部、青农处副处长、处长
1987.04—1990.06, 共青团中央青农部副部长
1990.06—1990.07, 共青团中央青农部部长
1990.07—1994.07, 共青团中央常委、宣传部部长
1994.07—1998.06, 中央财经领导小组办公室农村组正局级干部、副组长
1998.06—2001.07, 中央财经领导小组办公室副主任
2001.07—2003.04, 农业部副部长、党组副书记
2003.04—2006.11, 国务院研究室副主任、党组副书记
2006.11—2006.12, 中共吉林省委副书记
2006.12—2007.01, 中共吉林省委副书记、副省长、代省长
2007.01—2009.11, 中共吉林省委副书记、省长
2009.11—2009.12, 农业部党组书记
2009.12—, 农业部党组书记、部长、中国共产党第十七届、十八届、十九届中央委员会委员、中共十六大当选为中央纪律检查委员会委员、党的十九大代表。
