time,position
1978.10—1982.07,阜新矿业学院机电工程系工程力学专业学习；
1982.07—1985.03,天津大学力学系一般力学专业硕士研究生；
1985.03—1988.03,哈尔滨工业大学飞行动力学研究室一般力学专业博士研究生；
1988.03—1995.01,哈尔滨工业大学讲师、副教授、教授（1991.12）、博士生导师（1993.10）；
1995.01—1996.04,哈尔滨工业大学航天学院副院长、系主任；
1996.04—1996.05,哈尔滨工业大学副校长；
1996.05—1999.09,中国空间技术研究院（五院）副院长（正司局级）、党委委员（1996.06任实践五号卫星总指挥和总设计师）；
1999.09—2007.08,中国航天科技集团公司副总经理、党组成员
2007.08—2013.03,中国航天科技集团公司总经理、党组书记
2013.03—2013.05,工业和信息化部副部长、党组成员、国家航天局局长、国家原子能机构主任、国家国防科技工业局局长、党组书记
2013.05—2013.11,工业和信息化部副部长、党组副书记、国家航天局局长、国家原子能机构主任、国家国防科技工业局局长、党组书记、国务院中央军委专门委员会委员、国务院振兴东北地区等老工业基地领导小组成员
2013.11—2015.03,广东省委副书记、政法委书记、省社工委主任；
2015.03—2015.04,广东省委副书记、深圳市委书记、省委政法委书记、省社工委主任
2015.04—2016.12,广东省委副书记、深圳市委书记；
2016.12—2017.01,广东省委副书记、副省长、代理省长、省政府党组书记；
2017.01—,广东省委副书记、省长、省政府党组书记。
