time,position
1972—1978,广西壮族自治区柳州钢铁厂工人
1978—1982,中央民族学院政治系政治经济学专业学习
1982—1991,广西壮族自治区计委计划经济研究所助理研究员、副研究员、副所长
1991—1992,中国社会科学院民族研究所副研究员
1992—1994,中国社会科学院民族研究所经济研究室主任、研究员
1994—1994,广西壮族自治区北海市委书记助理
1994—1998,广西壮族自治区经济体制改革委员会副主任
1998—2002,广西壮族自治区百色地委副书记、行署专员
2002—2004,广西壮族自治区百色地（市）委书记
2004—2005,广西壮族自治区政府副主席
2005—2006,广西壮族自治区党委常委、南宁市委书记、市人大常委会主任
2006—2007,广西壮族自治区党委常委、南宁市委书记
2007—2008,广西壮族自治区党委副书记、区政府代主席、南宁市委书记
2008—2008,广西壮族自治区党委副书记、区政府主席、南宁市委书记
2008—2013,广西壮族自治区党委副书记、区政府主席 
2013—,十二届全国政协副主席、广西壮族自治区党委副书记、区政府主席（—20133）
