time,position
1970.09—1971.10,安徽省马鞍山市郊区知青
1971.10—1972.11,安徽省马鞍山钢铁公司第二炼钢厂工人
1972.11—1978.10,安徽省马鞍山钢铁公司第二炼钢厂团委干事
1978.10—1982.08,安徽大学经济系政治经济学专业学习
1982.08—1985.05,安徽省政府办公厅正科级秘书
1985.05—1993.03,安徽省外经贸委引进处副处长、技术进 出口处副处长、处长
1993.03—1995.04,安徽省外经贸委副主任、省外经贸厅副厅长
1995.04—1997.01,安徽省政府副秘书长、办公厅主任
1997.01—1998.02,安徽省政府秘书长
1998.02—1999.10,安徽省巢湖地委书记
1999.10—1999.12,安徽省委宣传部部长
1999.12—2003.04,安徽省委常委、宣传部部长
2003.04—2004.12,青海省委副书记
2004.12—2010.01,青海省委副书记、省委党校校长（兼）
2010.01—2013.03,青海省委副书记、省长
2013.03—2013.04,青海省委书记
2013.04—2016.06,青海省委书记、省人大常委会主任
2016.06—2017.01,山西省委书记
2017.01—,山西省委书记、省人大常委会主任、党组书记、中国共产党第十七届中央委员会候补委员、中国共产党第十八届、十九届中央委员会委员、党的十六大、十七大、十八大、十九大代表、十一届、十二届全国人大代表
