time,position
1970.12—1990.05,中国人民解放军第二炮兵部队战士、班长、排长、作训股参谋、作训股股长、旅司令部作训科科长、旅副参谋长、旅党委委员
1990.05—1994.04,中国人民解放军第二炮兵部队旅参谋长、旅党委常委；
1994.04—2001.07,中国人民解放军第二炮兵部队旅长、旅党委副书记
2001.07—2002.12,中国人民解放军第二炮兵部队第五十四基地参谋长、基地党委常委；
2002.12—2004.12,中国人民解放军第二炮兵部队第五十三基地司令员、基地党委副书记；
2004.12—2006.12,中国人民解放军第二炮兵部队副参谋长、第二炮兵部队党委委员；
2006.12—2010.12,中国人民解放军第二炮兵部队参谋长、第二炮兵部队党委常委；
2010.12—2012.10,中国人民解放军副总参谋长、总参谋部党委委员；
2012.10—2012.11,中国人民解放军第二炮兵司令员； 
2012.11—2013.03,中国人民解放军第二炮兵司令员、中国共产党中央军事委员会委员；
2013.03—2015.12,中华人民共和国中央军事委员会委员、中国共产党中央军事委员会委员、中国人民解放军第二炮兵司令员；
2015.12—2017.09,中国人民解放军火箭军司令员、中国共产党中央军事委员会委员、中华人民共和国中央军事委员会委员。 
2017.09—,中国共产党中央军事委员会委员、中华人民共和国中央军事委员会委员。
