time,position
1978.09—1982.08,武汉水利电力学院农田水利工程系农田水利工程专业学习；
1982.08—1986.08,农牧渔业部土地管理局干部
1986.08—1990.05,国家土地管理局地籍管理司综合登记处主任科员、副处长
1990.05—1992.09,国家土地管理局地籍管理司副司长；
1992.09—1996.06,国家土地管理局地籍管理司司长；
1996.06—1998.03,国家土地管理局副局长、党组成员
1998.03—1998.07,国土资源部党组成员；
1998.07—1999.05,国土资源部党组成员、耕地保护司司长；
1999.05—2005.11,国土资源部副部长、党组成员
2005.11—2008.10,国土资源部副部长、党组成员、国家测绘局局长、党组书记
2008.10—2009.04,国土资源部副部长、党组成员；
2009.04—2010.08,国土资源部副部长、党组副书记、国家土地副总督察；
2010.08—2011.05,甘肃省委副书记、省委党校校长；
2011.05—2011.06,江西省委副书记；
2011.06—2012.02,江西省委副书记、省人民政府副省长、代省长、党组书记；
2012.02—2016.06,江西省委副书记、省人民政府省长、党组书记
2016.06—2016.07,江西省委书记、省人民政府省长；
2016.07—2017.01,江西省委书记、省人大常委会党组书记；
2017.01—,江西省委书记、省人大常委会主任、党组书记、中国共产党第十七届中央委员会候补委员、中国共产党第十八届、十九届中央委员会委员、党的十九大代表、江西省总河长。
