time,position
1974—1977,陆军三二八六六部队八十四分队战士、副班长
1977—1978,福建省上杭县通贤公社通贤大队文书、党支部委员
1978—1982,福建师范大学政教系学习
1982—1985,福建省龙岩地委组织部干部
1985—1988,福建省龙岩地委组织部青干科副科长
1988—1990,福建省龙岩地区行署办公室副主任
1990—1991,福建省龙岩地区行署办公室主任
1991—1992,福建省龙岩地区行署副秘书长、办公室主任
1992—1993,福建省龙岩地区行署专员助理、副秘书长、办公室主任
1993—1995,福建省龙岩地区行署专员助理、永定县委书记
1995—1997,福建省龙岩地委委员、永定县委书记
1997—1998,福建省龙岩市委常委、永定县委书记
1998—1999,福建省龙岩市委副书记、市长
1999—2000,浙江省湖州市委副书记、代市长
2000—2003,浙江省湖州市委副书记、市长
2003—2007,浙江省嘉兴市委书记、市人大常委会主任
2007—2010,浙江省委常委、宣传部部长
2010—2012,浙江省委常委、杭州市委书记
2012—2013,浙江省委常委、杭州市委书记、市人大常委会主任
2013—2014,中央宣传部副部长
2014—2017,中央宣传部主持常务工作的副部长（正部长级）、中央精神文明建设指导委员会办公室主任
2017—,　中央政治局委员、中央书记处书记、中央宣传部部长、中央精神文明建设指导委员会办公室主任
