time,position
1975.8—1978.12,在江苏省兴化市刘陆乡插队、历任村团支部书记、乡团委副书记；
1978.12—1982.2,在江苏公安专科学校学习；
1982.2—1990,到江苏省公安厅工作、历任科员、副科长、科长、此间挂职任睢宁县公安局副局长；
1990—2000.12,历任江苏省公安厅政治部宣传处副处长、处长兼《警方》杂志主编、厅政治部副主任、厅长助理、厅党委委员兼交巡警总队总队长等职
2000.12—2003.4,任江苏省公安厅副厅长兼武警江苏省边防总队第一政委、第一书记；
2003.4—2006.12,任江苏省公安厅厅长、党委书记兼武警江苏省总队第一政委、第一书记；
2006.12—2008.11,任江苏省省长助理、省公安厅长、党委书记兼武警江苏省总队第一政委、第一书记；
2008.11—2009.8,调任公安部部长助理、党委委员兼办公厅主任、一级警监警衔；
2009.8—2012,任公安部副部长、党委委员；
2012—2016,晋升副总警监警衔；
2016.5—,任公安部党委副书记、副部长（正部长级）。
2016.8—,黄明同时担任中央政法委委员、中国共产党第十九届中央委员会委员、党的十九大代表
