time,position
1975.09—1977.10,南京大学文科班文哲史专业学习
1977.10—1978.05,江苏省扬中县长旺公社文化站代理站长
1978.05—1982.01,江苏省扬中县委办公室秘书、副主任
1982.01—1983.09,江苏省扬中县新坝公社（乡）党委副书记、书记
1983.09—1985.01,江苏省扬中县委副书记、代县长、县委书记
1985.01—1989.11,共青团江苏省委书记
1989.11—1994.11,江苏省农垦农工商联合总公司党委副书记兼纪委书记
1994.11—1995.03,江苏省纪委常委
1995.03—1997.05,江苏省纪委常委、省监察厅副厅长
1997.05—2000.12,江苏省纪委副书记、省监察厅厅长
2000.12—2002.11,监察部副部长
2002.11—2007.10,中央纪委常委、监察部副部长
2007.10—2007.12,中央纪委副书记、监察部副部长
2007.12—2013.03,中央纪委副书记（2003.11—2008.12兼任北京奥运监督委员会主任）
2013.03—2016.11,监察部部长、国家预防腐败局局长
2016.10—2016.11,民政部党组书记
2016.11—,民政部部长、党组书记、中国共产党第十八届、十九届中央委员会委员、第十六届中央纪委委员、常委、十七届、十八届中央纪委委员、常委、副书记、党的十九大代表。
