time,position
1979.12—1983.04,云南省中甸县尼西公社团委书记、青年干事
1983.04—1984.08,共青团云南省中甸县委副书记
1984.08—1986.08,云南省委党校大专培训班学习
1986.08—1988.06,云南省中甸县委党校校长
1988.06—1990.06,云南省中甸县委常委、宣传部部长、党校校长
1990.06—1994.08,云南省中甸县委副书记、政法委书记
1994.08—1997.08,云南省中甸县委书记、政法委书记
1997.08—2000.02,云南省迪庆州委常委、中甸县委书记
2000.02—2001.03,云南省迪庆州委副书记、中甸县委书记
2001.03—2001.06,云南省迪庆州委副书记、副州长、代州长、中甸县委书记
2001.06—2007.02,云南省迪庆州委副书记、州长
2007.02—2007.05,云南省迪庆州委书记、州长、迪庆军分区党委第一书记
2007.05—2010.05,云南省迪庆州委书记、迪庆军分区党委第一书记
2010.05—2010.09,云南省委常委、迪庆州委书记、迪庆军分区党委第一书记
2010.09—2011.01,西藏自治区党委常委、统战部部长、区政协党组副书记
2011.01—2011.11,西藏自治区党委常委、统战部部长、区政协党组副书记、副主席
2011.11—2012.01,西藏自治区党委常委、拉萨市委书记、区政协副主席、拉萨警备区党委第一书记
2012.01—2016.11,西藏自治区党委常委、拉萨市委书记、拉萨警备区党委第一书记
2016.11—2016.12,西藏自治区党委副书记、拉萨市委书记、拉萨警备区党委第一书记
2016.12—2017.01,西藏自治区党委副书记、区政府党组书记、拉萨市委书记、拉萨警备区党委第一书记 
2017.01—,西藏自治区党委副书记、区政府主席、党组书记
