time,position
1978.10—1982.08,北京对外贸易学院对外贸易管理系海关管理专业学生；
1982.08—1986.03,海关总署货运监管司货运监管处干部；
1986.03—1986.08,海关总署货运监管司货运监管处副处长；
1986.08—1989.05,海关总署办公室秘书处副处级秘书；
1989.05—1993.01,海关总署署长办公室正处级秘书；
1993.01—1996.01,天津海关副关长、党组成员；
1996.01—1997.04,全国海关信息管理中心筹备办公室副主任；
1997.04—1998.09,海关总署业务规范司副司长兼信息化工作领导小组办公室副主任
1998.09—2001.02,海关总署政策法规司司长；
2001.02—2003.03,深圳海关关长、党组书记；
2003.03—2008.11,海关总署副署长、党组成员；
2008.11—2008.12,浙江省政府党组成员；
2008.12—2012.06,浙江省副省长、省政府党组成员；
2012.06—2013.09,浙江省委常委、副省长、省政府党组副书记；
2013.09—2013.12,浙江省委常委、副省长、省政府党组副书记、杭州市委书记；
2013.12—2015.07,浙江省委常委、杭州市委书记；
2015.07—2015.08,山东省委副书记；
2015.08—2017.04,山东省委副书记兼省委党校校长；
2017.04—,山东省委副书记、副省长、代理省长、省长、省政府党组书记、中国共产党第十九届中央委员会委员、中共十七大代表、十届、十一届山东省委委员、山东省副总河长
